Loaded 582 players for 2026-27 using 2025-26 statistics

========================================================================
STAGE-AWARE EARLY j TRAINING — v34
========================================================================
22 / 600 states already checkpointed | deep=212941 | pricing bank=300
per-run compute budget: 6.00 hours
Rayon worker threads: 8
deep j rollouts: parallel for searches >= 256 vectors
  [101/600] roster=0 drafted=4 H= 65.00% | 100.5s | checkpointed
  [102/600] roster=1 drafted=14 H= 56.72% | 120.8s | checkpointed
  [103/600] roster=2 drafted=27 H= 56.62% | 119.7s | checkpointed
  [104/600] roster=3 drafted=40 H= 50.59% | 118.3s | checkpointed
  [105/600] roster=4 drafted=49 H= 48.34% | 111.7s | checkpointed
  [106/600] roster=0 drafted=4 H= 70.91% | 123.9s | checkpointed
  [107/600] roster=1 drafted=14 H= 59.16% | 152.5s | checkpointed
  [108/600] roster=2 drafted=27 H= 50.07% | 158.6s | checkpointed
  [109/600] roster=3 drafted=40 H= 54.87% | 116.6s | checkpointed
  [110/600] roster=4 drafted=49 H= 53.74% | 110.7s | checkpointed
  [111/600] roster=0 drafted=4 H= 69.29% | 111.6s | checkpointed
  [112/600] roster=1 drafted=14 H= 59.49% | 136.5s | checkpointed
  [113/600] roster=2 drafted=27 H= 53.00% | 165.1s | checkpointed
  [114/600] roster=3 drafted=40 H= 54.33% | 109.7s | checkpointed
  [115/600] roster=4 drafted=49 H= 50.89% | 106.1s | checkpointed
  [116/600] roster=0 drafted=4 H= 78.33% |  99.4s | checkpointed
  [117/600] roster=1 drafted=14 H= 58.34% | 129.5s | checkpointed
  [118/600] roster=2 drafted=27 H= 57.33% | 128.9s | checkpointed
  [119/600] roster=3 drafted=40 H= 50.40% | 119.0s | checkpointed
  [120/600] roster=4 drafted=49 H= 49.00% | 110.1s | checkpointed
  [121/600] roster=0 drafted=4 H= 74.77% | 100.2s | checkpointed
  [122/600] roster=1 drafted=14 H= 63.29% | 123.2s | checkpointed
  [123/600] roster=2 drafted=27 H= 51.04% | 127.2s | checkpointed
  [124/600] roster=3 drafted=40 H= 56.34% | 116.0s | checkpointed
  [125/600] roster=4 drafted=49 H= 56.73% |  90.1s | checkpointed
  [126/600] roster=0 drafted=4 H= 78.43% | 101.8s | checkpointed
  [127/600] roster=1 drafted=14 H= 58.72% | 125.1s | checkpointed
  [128/600] roster=2 drafted=27 H= 53.73% | 105.4s | checkpointed
  [129/600] roster=3 drafted=40 H= 50.14% | 114.9s | checkpointed
  [130/600] roster=4 drafted=49 H= 43.95% | 112.6s | checkpointed
  [131/600] roster=0 drafted=4 H= 71.64% | 102.4s | checkpointed
  [132/600] roster=1 drafted=14 H= 65.95% | 103.8s | checkpointed
  [133/600] roster=2 drafted=27 H= 61.22% | 124.2s | checkpointed
  [134/600] roster=3 drafted=40 H= 53.96% | 106.0s | checkpointed
  [135/600] roster=4 drafted=49 H= 52.11% |  96.9s | checkpointed
  [136/600] roster=0 drafted=4 H= 70.07% | 100.3s | checkpointed
  [137/600] roster=1 drafted=14 H= 54.25% | 122.2s | checkpointed
  [138/600] roster=2 drafted=27 H= 49.52% | 123.3s | checkpointed
  [139/600] roster=3 drafted=40 H= 59.13% | 107.4s | checkpointed
  [140/600] roster=4 drafted=49 H= 48.82% | 106.9s | checkpointed
  [141/600] roster=0 drafted=4 H= 68.13% | 100.5s | checkpointed
  [142/600] roster=1 drafted=14 H= 55.45% | 123.8s | checkpointed
  [143/600] roster=2 drafted=27 H= 53.18% | 123.8s | checkpointed
  [144/600] roster=3 drafted=40 H= 54.65% | 111.9s | checkpointed
  [145/600] roster=4 drafted=49 H= 51.33% | 103.3s | checkpointed
  [146/600] roster=0 drafted=4 H= 69.28% | 101.2s | checkpointed
  [147/600] roster=1 drafted=14 H= 55.95% | 126.1s | checkpointed
  [148/600] roster=2 drafted=27 H= 54.83% | 121.9s | checkpointed
  [149/600] roster=3 drafted=40 H= 49.46% | 117.2s | checkpointed
  [150/600] roster=4 drafted=49 H= 48.05% | 109.7s | checkpointed
  [151/600] roster=0 drafted=4 H= 71.73% | 103.9s | checkpointed
  [152/600] roster=1 drafted=14 H= 50.91% | 126.4s | checkpointed
  [153/600] roster=2 drafted=27 H= 53.42% | 124.0s | checkpointed
  [154/600] roster=3 drafted=40 H= 48.82% | 115.4s | checkpointed
  [155/600] roster=4 drafted=49 H= 50.69% |  98.3s | checkpointed
  [156/600] roster=0 drafted=4 H= 63.71% | 105.1s | checkpointed
  [157/600] roster=1 drafted=14 H= 64.00% | 124.2s | checkpointed
  [158/600] roster=2 drafted=27 H= 51.63% | 123.9s | checkpointed
  [159/600] roster=3 drafted=40 H= 50.41% | 113.6s | checkpointed
  [160/600] roster=4 drafted=49 H= 58.77% | 102.9s | checkpointed
  [161/600] roster=0 drafted=4 H= 69.71% | 100.8s | checkpointed
  [162/600] roster=1 drafted=14 H= 59.84% | 123.9s | checkpointed
  [163/600] roster=2 drafted=27 H= 55.73% | 120.6s | checkpointed
  [164/600] roster=3 drafted=40 H= 53.27% | 113.6s | checkpointed
  [165/600] roster=4 drafted=49 H= 50.88% | 108.8s | checkpointed
  [166/600] roster=0 drafted=4 H= 72.28% |  99.9s | checkpointed
  [167/600] roster=1 drafted=14 H= 58.32% | 124.7s | checkpointed
  [168/600] roster=2 drafted=27 H= 47.12% | 124.2s | checkpointed
  [169/600] roster=3 drafted=40 H= 55.21% | 115.3s | checkpointed
  [170/600] roster=4 drafted=49 H= 44.77% | 104.5s | checkpointed
  [171/600] roster=0 drafted=4 H= 82.82% |  97.6s | checkpointed
  [172/600] roster=1 drafted=14 H= 60.97% | 125.4s | checkpointed
  [173/600] roster=2 drafted=27 H= 53.99% | 126.3s | checkpointed
  [174/600] roster=3 drafted=40 H= 53.33% | 110.0s | checkpointed
  [175/600] roster=4 drafted=49 H= 45.34% | 108.6s | checkpointed
  [176/600] roster=0 drafted=4 H= 70.42% | 101.6s | checkpointed
  [177/600] roster=1 drafted=14 H= 54.86% | 124.4s | checkpointed
  [178/600] roster=2 drafted=27 H= 54.57% | 124.0s | checkpointed
  [179/600] roster=3 drafted=40 H= 56.85% | 109.5s | checkpointed
  [180/600] roster=4 drafted=49 H= 51.56% | 101.7s | checkpointed
